FileID	DatasetID
FILE_ID.00000999	DATASET.00000003
FILE_ID.00001002	DATASET.00000001
FILE_ID.00001003	DATASET.00000003
FILE_ID.00001006	DATASET.00000001
FILE_ID.00001007	DATASET.00000003
FILE_ID.00001010	DATASET.00000001
FILE_ID.00001011	DATASET.00000003
FILE_ID.00001014	DATASET.00000001
FILE_ID.00001015	DATASET.00000003
FILE_ID.00001018	DATASET.00000001
FILE_ID.00001019	DATASET.00000003
FILE_ID.00001022	DATASET.00000001
FILE_ID.00001023	DATASET.00000003
FILE_ID.00001026	DATASET.00000001
FILE_ID.00001027	DATASET.00000003
FILE_ID.00001030	DATASET.00000001
FILE_ID.00001031	DATASET.00000003
FILE_ID.00001034	DATASET.00000001
FILE_ID.00001035	DATASET.00000003
FILE_ID.00001038	DATASET.00000001
FILE_ID.00001039	DATASET.00000003
FILE_ID.00001042	DATASET.00000001
FILE_ID.00001043	DATASET.00000003
FILE_ID.00001046	DATASET.00000001
FILE_ID.00001047	DATASET.00000003
FILE_ID.00001050	DATASET.00000001
FILE_ID.00001051	DATASET.00000003
FILE_ID.00001054	DATASET.00000001
FILE_ID.00001055	DATASET.00000003
FILE_ID.00001058	DATASET.00000001
FILE_ID.00001059	DATASET.00000003
FILE_ID.00001062	DATASET.00000001
FILE_ID.00001063	DATASET.00000003
FILE_ID.00001066	DATASET.00000001
FILE_ID.00001067	DATASET.00000003
FILE_ID.00001070	DATASET.00000001
FILE_ID.00001071	DATASET.00000003
FILE_ID.00001074	DATASET.00000001
FILE_ID.00001075	DATASET.00000003
FILE_ID.00001078	DATASET.00000001
FILE_ID.00001079	DATASET.00000003
FILE_ID.00001082	DATASET.00000001
FILE_ID.00001083	DATASET.00000003
FILE_ID.00001086	DATASET.00000001
FILE_ID.00001087	DATASET.00000003
FILE_ID.00001090	DATASET.00000001
FILE_ID.00001091	DATASET.00000003
FILE_ID.00001094	DATASET.00000001
FILE_ID.00001095	DATASET.00000003
FILE_ID.00001098	DATASET.00000001
FILE_ID.00001099	DATASET.00000003
FILE_ID.00001102	DATASET.00000001
FILE_ID.00001103	DATASET.00000003
FILE_ID.00001106	DATASET.00000001
FILE_ID.00001107	DATASET.00000003
FILE_ID.00001110	DATASET.00000001
FILE_ID.00001111	DATASET.00000003
FILE_ID.00001114	DATASET.00000001
FILE_ID.00001115	DATASET.00000003
FILE_ID.00001118	DATASET.00000001
FILE_ID.00001119	DATASET.00000003
FILE_ID.00001122	DATASET.00000001
FILE_ID.00001123	DATASET.00000003
FILE_ID.00001126	DATASET.00000001
FILE_ID.00001127	DATASET.00000003
FILE_ID.00001130	DATASET.00000001
FILE_ID.00001131	DATASET.00000003
FILE_ID.00001134	DATASET.00000001
FILE_ID.00001135	DATASET.00000003
FILE_ID.00001138	DATASET.00000001
FILE_ID.00001139	DATASET.00000003
FILE_ID.00001142	DATASET.00000001
FILE_ID.00001143	DATASET.00000003
FILE_ID.00001146	DATASET.00000001
FILE_ID.00001147	DATASET.00000003
FILE_ID.00001150	DATASET.00000001
FILE_ID.00001151	DATASET.00000003
FILE_ID.00001154	DATASET.00000001
FILE_ID.00001155	DATASET.00000003
FILE_ID.00001158	DATASET.00000001
FILE_ID.00001159	DATASET.00000003
FILE_ID.00001162	DATASET.00000001
FILE_ID.00001163	DATASET.00000003
FILE_ID.00001166	DATASET.00000001
FILE_ID.00001167	DATASET.00000003
FILE_ID.00001170	DATASET.00000001
FILE_ID.00001171	DATASET.00000003
FILE_ID.00001174	DATASET.00000001
FILE_ID.00001175	DATASET.00000003
